danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0.643,0.86,4,-5.291,1,0.062,0.0292,1.43E-06,0.426,0.558,125.059,audio_features,070SyVcOlzRLf47QC1RksM,spotify:track:070SyVcOlzRLf47QC1RksM,https://api.spotify.com/v1/tracks/070SyVcOlzRLf47QC1RksM,https://api.spotify.com/v1/audio-analysis/070SyVcOlzRLf47QC1RksM,249879,4,Break Ke Baad
0.797,0.544,0,-7.139,1,0.0311,0.0902,2.46E-06,0.117,0.63,107.998,audio_features,2vnf0FVzoIiSrhV5OnjJYR,spotify:track:2vnf0FVzoIiSrhV5OnjJYR,https://api.spotify.com/v1/tracks/2vnf0FVzoIiSrhV5OnjJYR,https://api.spotify.com/v1/audio-analysis/2vnf0FVzoIiSrhV5OnjJYR,263182,4,Break Ke Baad
0.698,0.517,0,-6.168,1,0.0351,0.096,0.447,0.146,0.779,92.017,audio_features,2AqJAnChDv6XEV8Z4fHkpV,spotify:track:2AqJAnChDv6XEV8Z4fHkpV,https://api.spotify.com/v1/tracks/2AqJAnChDv6XEV8Z4fHkpV,https://api.spotify.com/v1/audio-analysis/2AqJAnChDv6XEV8Z4fHkpV,263160,4,Anjaana Anjaani
0.683,0.973,2,-5.24,1,0.0449,0.0064,0.248,0.0268,0.956,137.985,audio_features,2FqdO4F5QCgcLnHKclYOGg,spotify:track:2FqdO4F5QCgcLnHKclYOGg,https://api.spotify.com/v1/tracks/2FqdO4F5QCgcLnHKclYOGg,https://api.spotify.com/v1/audio-analysis/2FqdO4F5QCgcLnHKclYOGg,286827,4,Anjaana Anjaani
0.622,0.781,9,-5.393,0,0.0615,0.0117,0.000261,0.0873,0.431,103.989,audio_features,52IK39N9zzWvhluptrXElD,spotify:track:52IK39N9zzWvhluptrXElD,https://api.spotify.com/v1/tracks/52IK39N9zzWvhluptrXElD,https://api.spotify.com/v1/audio-analysis/52IK39N9zzWvhluptrXElD,249413,4,Anjaana Anjaani
0.752,0.887,8,-4.01,1,0.0328,0.0691,5.29E-06,0.119,0.937,133.941,audio_features,25QnrkmVfATGRwPPDTVi4K,spotify:track:25QnrkmVfATGRwPPDTVi4K,https://api.spotify.com/v1/tracks/25QnrkmVfATGRwPPDTVi4K,https://api.spotify.com/v1/audio-analysis/25QnrkmVfATGRwPPDTVi4K,227263,4,Chammak Challo (International Version)
0.248,0.692,9,-5.201,0,0.0476,0.214,2.52E-05,0.174,0.251,86.605,audio_features,77K0PZT05HU6sVB9mv1wVF,spotify:track:77K0PZT05HU6sVB9mv1wVF,https://api.spotify.com/v1/tracks/77K0PZT05HU6sVB9mv1wVF,https://api.spotify.com/v1/audio-analysis/77K0PZT05HU6sVB9mv1wVF,188238,3,Aa Bhi Ja Sanam
0.679,0.913,4,-5.284,0,0.0564,0.0306,1.52E-06,0.65,0.692,124.98,audio_features,7jGlJK8pKCZAlMJGXNIDYc,spotify:track:7jGlJK8pKCZAlMJGXNIDYc,https://api.spotify.com/v1/tracks/7jGlJK8pKCZAlMJGXNIDYc,https://api.spotify.com/v1/audio-analysis/7jGlJK8pKCZAlMJGXNIDYc,199706,4,O Mere Khuda
0.317,0.69,2,-5.029,1,0.0386,0.673,0,0.138,0.507,126.903,audio_features,0aviOEUYHCNDLRYrc5AgZU,spotify:track:0aviOEUYHCNDLRYrc5AgZU,https://api.spotify.com/v1/tracks/0aviOEUYHCNDLRYrc5AgZU,https://api.spotify.com/v1/audio-analysis/0aviOEUYHCNDLRYrc5AgZU,292545,4,Bakhuda Tumhi Ho
0.682,0.769,8,-5.275,1,0.0306,0.511,0,0.111,0.526,119.96,audio_features,4FIaVcEAOlgC94YwwPHznL,spotify:track:4FIaVcEAOlgC94YwwPHznL,https://api.spotify.com/v1/tracks/4FIaVcEAOlgC94YwwPHznL,https://api.spotify.com/v1/audio-analysis/4FIaVcEAOlgC94YwwPHznL,300069,4,Tera Hone Laga Hoon
0.464,0.822,8,-4.827,0,0.0662,0.135,0.000449,0.0898,0.407,89.761,audio_features,0PIKvIb2IzUgYq9OjNX8mG,spotify:track:0PIKvIb2IzUgYq9OjNX8mG,https://api.spotify.com/v1/tracks/0PIKvIb2IzUgYq9OjNX8mG,https://api.spotify.com/v1/audio-analysis/0PIKvIb2IzUgYq9OjNX8mG,320040,4,Woh Lamhe Woh Baatein (2005)
0.49,0.957,9,-2.999,1,0.158,0.189,0,0.217,0.317,120.058,audio_features,35q9PJHy5tkmAevaWBLkNQ,spotify:track:35q9PJHy5tkmAevaWBLkNQ,https://api.spotify.com/v1/tracks/35q9PJHy5tkmAevaWBLkNQ,https://api.spotify.com/v1/audio-analysis/35q9PJHy5tkmAevaWBLkNQ,292560,4,Doorie
