cluster,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,acousticness_scaled,danceability_scaled,energy_scaled,instrumentalness_scaled,liveness_scaled,valence_scaled,tempo_scaled,speechiness_scaled,loudness_scaled
4,0.8290000000000001,0.9420000000000001,0,-4.959,1,0.0396,0.0914,0.00853,0.295,0.927,104.82700000000001,audio_features,77dvAkaySQAPYHo7dbkGkM,spotify:track:77dvAkaySQAPYHo7dbkGkM,https://api.spotify.com/v1/tracks/77dvAkaySQAPYHo7dbkGkM,https://api.spotify.com/v1/audio-analysis/77dvAkaySQAPYHo7dbkGkM,287813,4,Ultimate Bollywood Workout - Vol 1,-1.0849813052380386,1.461061338283001,1.5943547389788824,-0.18003975962224245,0.734802419377633,1.5866008140705827,-0.3952347364958437,-0.49468818983231705,0.8788504156334982
4,0.7340000000000001,0.879,2,-5.093,1,0.133,0.0608,0.0597,0.0967,0.44,104.99,audio_features,60c62Sw0KLZKgoLPTs4t6J,spotify:track:60c62Sw0KLZKgoLPTs4t6J,https://api.spotify.com/v1/tracks/60c62Sw0KLZKgoLPTs4t6J,https://api.spotify.com/v1/audio-analysis/60c62Sw0KLZKgoLPTs4t6J,247200,4,Ultimate Bollywood Workout - Vol 1,-1.1840717495168285,0.8433381340863401,1.2722351030720338,0.1612521057958605,-0.6077146524535546,-0.5930912224429891,-0.3893537232216523,0.9448393735504973,0.8374761053994623
4,0.755,0.9390000000000001,11,-4.968999999999999,0,0.127,0.129,3.43e-06,0.41600000000000004,0.7829999999999999,92.006,audio_features,4B0SFukDN2ojbuVecdXR9V,spotify:track:4B0SFukDN2ojbuVecdXR9V,https://api.spotify.com/v1/tracks/4B0SFukDN2ojbuVecdXR9V,https://api.spotify.com/v1/audio-analysis/4B0SFukDN2ojbuVecdXR9V,295560,4,Ultimate Bollywood Workout - Vol 1,-0.963223112268022,0.9798874739613909,1.5790157086976038,-0.23690997617330817,1.553988328059296,0.9420922858201627,-0.8578143143388888,0.8523643694787961,0.875762780541406
4,0.778,0.951,11,-4.027,0,0.0573,0.0713,0.00474,0.316,0.61,109.417,audio_features,6QvMf4xpRflfaQVIKmGQhA,spotify:track:6QvMf4xpRflfaQVIKmGQhA,https://api.spotify.com/v1/tracks/6QvMf4xpRflfaQVIKmGQhA,https://api.spotify.com/v1/audio-analysis/6QvMf4xpRflfaQVIKmGQhA,325680,4,Ultimate Bollywood Workout - Vol 1,-1.150070126479989,1.1294415128721615,1.6403718298227172,-0.20531816825883828,0.8769751803885002,0.1677869011859784,-0.22962828908147898,-0.2218869278207988,1.1666180062164933
4,0.652,0.97,6,-3.944,0,0.0461,0.00775,0.00168,0.204,0.883,124.977,audio_features,4SwYoLdtlNhlewcNa1sYFR,spotify:track:4SwYoLdtlNhlewcNa1sYFR,https://api.spotify.com/v1/tracks/4SwYoLdtlNhlewcNa1sYFR,https://api.spotify.com/v1/audio-analysis/4SwYoLdtlNhlewcNa1sYFR,231013,4,Ultimate Bollywood Workout - Vol 1,-1.355860902098195,0.31014547362185296,1.7375190216041478,-0.22572764858284444,0.118720454997209,1.3896676526607321,0.33177395966961504,-0.3945069354213075,1.1922453774808588
4,0.762,0.8170000000000001,0,-5.803999999999999,1,0.158,0.022000000000000002,9.300000000000001e-05,0.0789,0.8490000000000001,92.01,audio_features,2msWTU4Vs3FyxKuCixcwmN,spotify:track:2msWTU4Vs3FyxKuCixcwmN,https://api.spotify.com/v1/tracks/2msWTU4Vs3FyxKuCixcwmN,https://api.spotify.com/v1/audio-analysis/2msWTU4Vs3FyxKuCixcwmN,281173,4,Ultimate Bollywood Workout - Vol 1,-1.309715842262484,1.025403920586408,0.9552284772589453,-0.2363125653391182,-0.7282229927389563,1.237492027934939,-0.8576699949947367,1.3301518905159186,0.6179452503517053
4,0.79,0.8270000000000001,1,-5.706,1,0.03,0.0853,0.40299999999999997,0.29100000000000004,0.588,114.98100000000001,audio_features,417VlUKWcOEmBzq8T4NLEt,spotify:track:417VlUKWcOEmBzq8T4NLEt,https://api.spotify.com/v1/tracks/417VlUKWcOEmBzq8T4NLEt,https://api.spotify.com/v1/audio-analysis/417VlUKWcOEmBzq8T4NLEt,253357,4,Ultimate Bollywood Workout - Vol 1,-1.104734629097536,1.2074697070864768,1.0063585781965403,2.4509823656753738,0.7077218934708015,0.06932032048105309,-0.02888008136611325,-0.642648196347039,0.6482040742542088
0,0.643,0.86,4,-5.291,1,0.062,0.0292,1.43e-06,0.426,0.5579999999999999,125.059,audio_features,070SyVcOlzRLf47QC1RksM,spotify:track:070SyVcOlzRLf47QC1RksM,https://api.spotify.com/v1/tracks/070SyVcOlzRLf47QC1RksM,https://api.spotify.com/v1/audio-analysis/070SyVcOlzRLf47QC1RksM,249879,4,Break Ke Baad,-1.286400443608651,0.25162432796111656,1.1750879112906034,-0.2369233157029317,1.6216896428263754,-0.06495228957111776,0.33473250622472983,-0.14944817463129953,0.7763409305760361
1,0.797,0.544,0,-7.138999999999999,1,0.0311,0.0902,2.46e-06,0.11699999999999999,0.63,107.99799999999999,audio_features,2vnf0FVzoIiSrhV5OnjJYR,spotify:track:2vnf0FVzoIiSrhV5OnjJYR,https://api.spotify.com/v1/tracks/2vnf0FVzoIiSrhV5OnjJYR,https://api.spotify.com/v1/audio-analysis/2vnf0FVzoIiSrhV5OnjJYR,263182,4,Break Ke Baad,-1.0888672050136774,1.252986153711494,-0.44062327833739706,-0.23691644584517557,-0.47028098347638314,0.2573019745540923,-0.2808255764193844,-0.6256944456005603,0.2057459655573935
4,0.698,0.517,0,-6.167999999999999,1,0.0351,0.096,0.447,0.146,0.779,92.01700000000001,audio_features,2AqJAnChDv6XEV8Z4fHkpV,spotify:track:2AqJAnChDv6XEV8Z4fHkpV,https://api.spotify.com/v1/tracks/2AqJAnChDv6XEV8Z4fHkpV,https://api.spotify.com/v1/audio-analysis/2AqJAnChDv6XEV8Z4fHkpV,263160,4,Anjaana Anjaani,-1.0700853560980896,0.6092535514433938,-0.5786745508689036,2.74445201739311,-0.2739471706518524,0.9241892711465404,-0.8574174361424706,-0.564044442886093,0.5055553329995485
4,0.6829999999999999,0.973,2,-5.24,1,0.0449,0.0064,0.248,0.0268,0.956,137.985,audio_features,2FqdO4F5QCgcLnHKclYOGg,spotify:track:2FqdO4F5QCgcLnHKclYOGg,https://api.spotify.com/v1/tracks/2FqdO4F5QCgcLnHKclYOGg,https://api.spotify.com/v1/audio-analysis/2FqdO4F5QCgcLnHKclYOGg,286827,4,Anjaana Anjaani,-1.3602325393457886,0.5117183086754998,1.7528580518854262,1.4171688198515333,-1.0809468426754407,1.7163976704543473,0.8011004668517638,-0.41300193623564774,0.7920878695457065
1,0.622,0.7809999999999999,9,-5.393,0,0.0615,0.0117,0.000261,0.0873,0.431,103.98899999999999,audio_features,52IK39N9zzWvhluptrXElD,spotify:track:52IK39N9zzWvhluptrXElD,https://api.spotify.com/v1/tracks/52IK39N9zzWvhluptrXElD,https://api.spotify.com/v1/audio-analysis/52IK39N9zzWvhluptrXElD,249413,4,Anjaana Anjaani,-1.3430698153367173,0.115074988086065,0.7711601138836028,-0.23519204485074144,-0.6713538883346094,-0.6333730054586403,-0.4254696390956785,-0.15715442497060797,0.7448470526366956
